names,wkt_geom
Вячеслава Черновола,"LINESTRING(30.7491142 46.4719491, 30.7486466 46.4690053)"
Гаваи,"POLYGON((30.7639892 46.4293378, 30.7635628 46.4294219, 30.763277 46.4290985, 30.7650876 46.4284199, 30.7660975 46.428137, 30.7661835 46.42826, 30.7660274 46.4284632, 30.7639892 46.4293378))"
Гаванная,"LINESTRING(30.7358681 46.4852969, 30.7359879 46.486786)"
Гагарина,"LINESTRING(30.7380223 46.4518145, 30.7394251 46.4525709, 30.7507231 46.4569752)"
Гагаринн Плаза,"POLYGON((30.7617925 46.432121, 30.7613168 46.4320094, 30.7614975 46.4316435, 30.7622983 46.4318314, 30.7621176 46.4321973, 30.7617925 46.432121))"
Гайдара,"LINESTRING(30.7004018 46.4259629, 30.7154427 46.4424623)"
Гаркавого,"LINESTRING(30.7021041 46.3602143, 30.7066565 46.360287)"
Ген Петрова,"LINESTRING(30.694644 46.4421411, 30.6947584 46.440504, 30.6949956 46.4396632, 30.6952848 46.4390135, 30.6957223 46.4382874, 30.6964692 46.4373518, 30.6971433 46.4367079, 30.6984563 46.435734, 30.6991115 46.4353627, 30.7014307 46.4343318, 30.7030776 46.4336183, 30.7040571 46.433177, 30.7061705 46.4322901, 30.7084961 46.4312811, 30.7106614 46.4303341, 30.7124582 46.4295308, 30.713878 46.4286869, 30.7160523 46.4272731, 30.7174996 46.426295, 30.7187525 46.425494, 30.7207004 46.4242244, 30.7211407 46.4239463)"
Генуэзская,"LINESTRING(30.7564245 46.4395578, 30.7567489 46.4389387, 30.7573285 46.438375, 30.7571709 46.4389692)"
Гераневая,"POLYGON((30.732189 46.4353009, 30.73252 46.4356443, 30.7333105 46.4394795, 30.732189 46.4353009))"
Героев Обороны|Сталинграда,"LINESTRING(30.786447 46.581756, 30.77721 46.5650412)"
Героев Пограничников,"LINESTRING(30.7304845 46.4360227, 30.7351867 46.4337703)"
Гимназическая,"POLYGON((30.7448029 46.4679394, 30.7449916 46.4683456, 30.7455731 46.4722048, 30.7448029 46.4679394))"
Глазунова,"LINESTRING(30.7315099 46.4216385, 30.7341476 46.420175)"
Глиняная,"LINESTRING(30.716989 46.4426545, 30.7197584 46.4412538)"
Глухой мост,"POLYGON((30.7167946 46.4968225, 30.7169144 46.4968536, 30.716847 46.4969765, 30.7167272 46.4969454, 30.7167946 46.4968225))"
Говорова,"LINESTRING(30.7498664 46.4386816, 30.7500359 46.4414468, 30.7499745 46.4449228, 30.747437 46.4493449, 30.7467396 46.449764, 30.7452778 46.451751, 30.7447993 46.4520292)"
Гоголя,"LINESTRING(30.7356093 46.490712, 30.7356181 46.4888651)"
Головковская,"LINESTRING(30.7085557 46.4707726, 30.7084508 46.4682482, 30.7085686 46.4607987)"
Гольфстрим,"POLYGON((30.7596667 46.5502433, 30.7597996 46.550068, 30.7602199 46.5502188, 30.7601113 46.550362, 30.7596667 46.5502433))"
Горбатый мост,"POLYGON((30.7046929 46.4545161, 30.7049971 46.4533917, 30.7051703 46.4534206, 30.7047808 46.4545307, 30.7046929 46.4545161))"
Горячие перцы,"POLYGON((30.7226161 46.4010726, 30.7224023 46.4010438, 30.7224737 46.4007842, 30.7226902 46.400815, 30.7226161 46.4010726))"
Градоначальницкая,"LINESTRING(30.7213333 46.4814159, 30.7213872 46.4812758, 30.7213987 46.4812778, 30.7213448 46.481418, 30.7213333 46.4814159, 30.7216748 46.4808818, 30.72168 46.4808827, 30.7216511 46.4809629, 30.7216459 46.480962, 30.7216748 46.4808818)"
Гранитная,"POLYGON((30.7080009 46.3979919, 30.7070551 46.3982563, 30.7078741 46.400999, 30.7080009 46.3979919))"
Греческая площадь,"POLYGON((30.7360661 46.482815, 30.7359919 46.4832198, 30.7356244 46.4833826, 30.7352304 46.4832706, 30.7350844 46.4829098, 30.7360661 46.482815))"
Грузинская,"LINESTRING(30.6541325 46.465171, 30.6542791 46.4634176)"
Грушевского,"LINESTRING(30.6767401 46.4888575, 30.6886916 46.4803267, 30.6896978 46.4799424, 30.6918904 46.4794671, 30.6956067 46.4772026, 30.6968864 46.4767068, 30.6989981 46.4764917, 30.7013416 46.4769519)"
Гумилева,"LINESTRING(30.7408799 46.3844814, 30.7366081 46.3834134)"
Давида Бурлюка,"LINESTRING(30.7547157 46.4050553, 30.7469689 46.4039559)"
Давида Ойстраха,"LINESTRING(30.7930916 46.5820968, 30.7887613 46.5848357)"
Дальницкая,"LINESTRING(30.6857069 46.466395, 30.6889623 46.4662813, 30.7065881 46.4648479, 30.7135362 46.4644445)"
Дальницкое шоссе,"LINESTRING(30.6436671 46.4752617, 30.6442863 46.4753973, 30.6638492 46.471498)"
